Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
58362,2019,1,1,0,1038.0,4.0,3.0,-1.7,25.0,4.11552
58362,2019,1,1,0,1018.0,164.0,1.6,-4.3,5.0,6.17328
58362,2019,1,1,0,1000.0,310.0,0.4,-6.6,355.0,8.23104
58362,2019,1,1,0,986.0,423.0,-0.7,-2.8,350.0,8.74548
58362,2019,1,1,0,985.0,431.0,-0.8,-2.9,350.0,8.74548
58362,2019,1,1,0,925.0,929.0,-4.9,-6.2,320.0,6.17328
58362,2019,1,1,0,919.0,980.0,-5.5,-6.8,313.0,5.65884
58362,2019,1,1,0,899.0,1154.0,-2.9,-4.2,288.0,5.1444
58362,2019,1,1,0,877.0,1349.0,-3.7,-5.0,260.0,4.11552
58362,2019,1,1,0,850.0,1596.0,-4.7,-6.0,275.0,8.74548
58362,2019,1,1,0,841.0,1679.0,-5.0,-6.3,280.0,10.8032
58362,2019,1,1,0,805.0,2022.0,-6.1,-7.5,265.0,13.8899
58362,2019,1,1,0,782.0,2249.0,-6.9,-8.3,262.0,14.9188
58362,2019,1,1,0,775.0,2320.0,-4.3,-5.6,260.0,15.4332
58362,2019,1,1,0,763.0,2443.0,-5.1,-30.1,259.0,15.9476
58362,2019,1,1,0,741.0,2672.0,-5.1,-45.7,255.0,16.9765
58362,2019,1,1,0,739.0,2693.0,-5.1,-47.1,255.0,16.9765
58362,2019,1,1,0,700.0,3120.0,-3.5,-46.5,265.0,18.0054
58362,2019,1,1,0,694.0,3188.0,-2.9,-45.9,266.0,18.0054
58362,2019,1,1,0,650.0,3691.0,-6.4,-46.2,275.0,20.0632
58362,2019,1,1,0,510.0,5553.0,-19.3,-47.3,261.0,24.6931
58362,2019,1,1,0,500.0,5700.0,-20.1,-49.1,260.0,25.2076
58362,2019,1,1,0,491.0,5832.0,-20.9,-49.5,260.0,25.2076
58362,2019,1,1,0,400.0,7320.0,-30.5,-54.5,255.0,41.1552
58362,2019,1,1,0,375.0,7777.0,-34.1,-56.1,253.0,46.814
58362,2019,1,1,0,336.0,8541.0,-36.2,-59.1,250.0,57.1028
58362,2019,1,1,0,300.0,9330.0,-38.3,-62.3,255.0,62.7617
58362,2019,1,1,0,296.0,9422.0,-38.7,-62.7,255.0,64.8194
58362,2019,1,1,0,269.0,10078.0,-35.9,-61.9,252.0,76.1371
58362,2019,1,1,0,256.0,10417.0,-37.9,-63.9,250.0,81.796
58362,2019,1,1,0,250.0,10580.0,-38.9,-64.9,250.0,82.8248
58362,2019,1,1,0,215.0,11598.0,-46.2,-70.7,250.0,86.9404
58362,2019,1,1,0,207.0,11854.0,-48.1,-72.1,250.0,85.9115
58362,2019,1,1,0,200.0,12080.0,-50.3,-74.3,250.0,84.8826
58362,2019,1,1,0,165.0,13300.0,-60.8,,255.0,81.796
58362,2019,1,1,0,161.0,13456.0,-62.1,,255.0,80.2526
58362,2019,1,1,0,150.0,13890.0,-64.9,,255.0,76.1371
58362,2019,1,1,0,117.0,15382.0,-70.9,,255.0,61.7328
58362,2019,1,1,0,114.0,15536.0,-69.9,,255.0,60.7039
58362,2019,1,1,0,107.0,15911.0,-72.1,,255.0,57.1028
58362,2019,1,1,0,100.0,16310.0,-71.5,,255.0,51.9584
58362,2019,1,1,0,82.7,17431.0,-72.1,,258.0,42.1841
58362,2019,1,1,0,74.2,18079.0,-67.1,,259.0,37.0397
58362,2019,1,1,0,70.0,18430.0,-68.1,,260.0,33.953
58362,2019,1,1,0,69.0,18516.0,-68.3,,260.0,32.9242
58362,2019,1,1,0,56.5,19706.0,-70.7,,260.0,29.8375
58362,2019,1,1,0,51.7,20237.0,-65.7,,260.0,28.2942
58362,2019,1,1,0,50.0,20440.0,-65.5,,260.0,27.7798
58362,2019,1,1,0,45.0,21081.0,-66.5,,260.0,25.2076
58362,2019,1,1,0,44.8,21108.0,-66.5,,260.0,24.6931
58362,2019,1,1,0,38.8,21992.0,-61.1,,250.0,19.5487
58362,2019,1,1,0,36.0,22455.0,-63.3,,245.0,16.9765
58362,2019,1,1,0,34.5,22718.0,-64.5,,247.0,15.9476
58362,2019,1,1,0,30.0,23580.0,-61.7,,255.0,11.8321
58362,2019,1,1,0,27.0,24231.0,-62.4,,260.0,8.23104
58362,2019,1,1,0,23.4,25114.0,-63.3,,253.0,7.20216
58362,2019,1,1,0,20.0,26090.0,-59.1,,245.0,6.17328
58362,2019,1,1,0,17.0,27124.0,-55.5,,230.0,6.17328
58362,2019,1,1,0,14.7,28050.0,-52.3,,259.0,4.11552
58362,2019,1,1,0,12.3,29195.0,-55.1,,295.0,1.54332
58362,2019,1,1,0,12.0,29354.0,-54.4,,300.0,1.02888
58362,2019,1,1,0,10.2,30404.0,-49.9,,,
