Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
56964,2019,1,1,0,876.0,1303.0,12.0,9.7,135.0,1.02888
56964,2019,1,1,0,850.0,1551.0,9.8,9.4,140.0,6.17328
56964,2019,1,1,0,700.0,3148.0,2.0,-2.1,215.0,10.8032
56964,2019,1,1,0,500.0,5800.0,-12.7,-52.7,275.0,24.1787
56964,2019,1,1,0,400.0,7490.0,-16.9,-54.9,290.0,39.0974
56964,2019,1,1,0,300.0,9590.0,-30.1,-64.1,270.0,44.7563
56964,2019,1,1,0,250.0,10860.0,-39.5,-70.5,250.0,42.1841
56964,2019,1,1,0,200.0,12350.0,-51.7,-79.7,245.0,54.0162
56964,2019,1,1,0,150.0,14150.0,-67.1,,235.0,34.9819
56964,2019,1,1,0,135.0,14763.0,-70.2,,250.0,64.8194
56964,2019,1,1,0,100.0,16510.0,-79.1,,285.0,29.8375
56964,2019,1,1,0,94.7,16818.0,-80.7,,280.0,29.8375
56964,2019,1,1,0,70.0,18540.0,-76.1,,280.0,19.0343
56964,2019,1,1,0,50.0,20520.0,-74.5,,270.0,11.8321
56964,2019,1,1,0,30.0,23590.0,-58.7,,305.0,4.11552
56964,2019,1,1,0,20.0,26140.0,-55.3,,260.0,9.77436
56964,2019,1,1,0,10.0,30610.0,-52.3,,,
