Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
59316,2019,1,1,0,1028.0,3.0,10.8,6.6,0.0,4.11552
59316,2019,1,1,0,1000.0,232.0,8.6,4.2,0.0,8.23104
59316,2019,1,1,0,955.5,610.0,8.5,5.9,40.0,9.77436
59316,2019,1,1,0,925.0,879.0,8.4,7.1,45.0,10.8032
59316,2019,1,1,0,888.1,1219.0,9.8,7.6,175.0,3.08664
59316,2019,1,1,0,850.0,1586.0,11.2,8.1,60.0,3.08664
59316,2019,1,1,0,766.7,2438.0,7.3,3.2,265.0,11.8321
59316,2019,1,1,0,700.0,3189.0,3.8,-1.2,265.0,5.1444
59316,2019,1,1,0,659.7,3658.0,1.8,-6.8,245.0,26.2364
59316,2019,1,1,0,565.5,4877.0,-3.5,-21.2,250.0,29.8375
59316,2019,1,1,0,500.0,5850.0,-7.7,-32.7,245.0,25.2076
59316,2019,1,1,0,484.1,6096.0,-9.0,-33.7,255.0,37.0397
59316,2019,1,1,0,400.0,7550.0,-16.9,-39.9,250.0,30.8664
59316,2019,1,1,0,300.0,9660.0,-31.1,-51.1,255.0,36.0108
59316,2019,1,1,0,250.0,10930.0,-40.7,-59.7,250.0,37.0397
59316,2019,1,1,0,200.0,12400.0,-53.7,-69.7,240.0,43.213
59316,2019,1,1,0,187.0,12825.0,-56.0,,240.0,44.7563
59316,2019,1,1,0,150.0,14220.0,-63.5,,245.0,37.0397
59316,2019,1,1,0,100.0,16590.0,-80.1,,245.0,29.8375
59316,2019,1,1,0,91.9,17067.0,-83.3,,250.0,27.7798
59316,2019,1,1,0,70.0,18610.0,-78.7,,260.0,21.092
59316,2019,1,1,0,50.0,20570.0,-68.7,,255.0,12.861
59316,2019,1,1,0,30.0,23670.0,-62.5,,300.0,5.1444
59316,2019,1,1,0,20.0,26200.0,-57.5,,305.0,4.11552
59316,2019,1,1,0,10.0,30630.0,-47.5,,,
