Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
51839,2019,1,1,0,866.0,1409.0,-13.9,-17.0,0.0,0.0
51839,2019,1,1,0,850.0,1557.0,-5.7,-15.7,100.0,2.05776
51839,2019,1,1,0,700.0,3100.0,-0.9,-24.9,275.0,3.08664
51839,2019,1,1,0,500.0,5680.0,-22.1,-40.1,280.0,19.0343
51839,2019,1,1,0,400.0,7270.0,-35.9,-50.9,295.0,15.9476
51839,2019,1,1,0,300.0,9200.0,-51.5,-63.5,290.0,18.0054
51839,2019,1,1,0,250.0,10380.0,-54.1,-66.1,285.0,26.2364
51839,2019,1,1,0,235.0,10775.0,-55.7,-67.7,285.0,26.7509
51839,2019,1,1,0,200.0,11800.0,-55.5,-68.5,280.0,34.9819
51839,2019,1,1,0,175.0,12649.0,-56.3,-69.3,280.0,37.0397
51839,2019,1,1,0,150.0,13630.0,-57.3,-70.3,280.0,33.953
51839,2019,1,1,0,115.0,15285.0,-64.3,,280.0,32.9242
51839,2019,1,1,0,100.0,16140.0,-64.7,,280.0,26.2364
51839,2019,1,1,0,70.0,18300.0,-65.1,,275.0,22.1209
51839,2019,1,1,0,50.0,20350.0,-66.3,,285.0,21.092
51839,2019,1,1,0,30.0,23460.0,-65.9,,270.0,15.9476
51839,2019,1,1,0,20.0,25950.0,-58.7,,275.0,12.861
