Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
51076,2019,1,1,0,945.0,737.0,-14.3,-16.1,45.0,2.05776
51076,2019,1,1,0,925.0,899.0,-12.1,-13.6,85.0,2.05776
51076,2019,1,1,0,850.0,1544.0,-13.9,-15.5,135.0,4.11552
51076,2019,1,1,0,700.0,3009.0,-18.1,-24.1,290.0,5.1444
51076,2019,1,1,0,500.0,5450.0,-33.1,-44.1,275.0,16.9765
51076,2019,1,1,0,400.0,6980.0,-44.7,-55.7,275.0,20.0632
51076,2019,1,1,0,300.0,8860.0,-55.1,-65.1,285.0,24.1787
51076,2019,1,1,0,292.0,9032.0,-55.9,-65.9,280.0,24.1787
51076,2019,1,1,0,250.0,10020.0,-55.5,-66.5,275.0,23.1498
51076,2019,1,1,0,200.0,11460.0,-52.7,-63.7,285.0,22.1209
51076,2019,1,1,0,150.0,13310.0,-54.9,-66.9,280.0,23.1498
51076,2019,1,1,0,107.0,15431.0,-61.9,,295.0,21.092
51076,2019,1,1,0,100.0,15850.0,-61.1,,295.0,21.092
51076,2019,1,1,0,70.0,18060.0,-63.5,,290.0,21.092
51076,2019,1,1,0,50.0,20110.0,-66.7,,290.0,26.2364
51076,2019,1,1,0,30.0,23200.0,-65.1,,275.0,27.7798
51076,2019,1,1,0,20.0,25730.0,-55.5,,255.0,29.8375
