Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
58150,2019,1,1,0,1039.0,7.0,-2.7,-5.5,315.0,2.05776
58150,2019,1,1,0,1000.0,310.0,-1.5,-8.5,345.0,6.17328
58150,2019,1,1,0,962.7,610.0,-4.1,-10.2,0.0,5.1444
58150,2019,1,1,0,925.0,925.0,-6.9,-11.9,355.0,4.11552
58150,2019,1,1,0,890.6,1219.0,-7.6,-21.6,300.0,10.8032
58150,2019,1,1,0,850.0,1581.0,-8.5,-33.5,330.0,8.74548
58150,2019,1,1,0,761.4,2438.0,-6.7,-34.0,270.0,27.7798
58150,2019,1,1,0,700.0,3092.0,-5.3,-34.3,280.0,21.092
58150,2019,1,1,0,650.0,3658.0,-8.9,-36.1,280.0,32.9242
58150,2019,1,1,0,554.0,4877.0,-16.6,-40.0,265.0,43.213
58150,2019,1,1,0,500.0,5660.0,-21.5,-42.5,280.0,32.9242
58150,2019,1,1,0,470.5,6096.0,-24.9,-45.4,260.0,64.8194
58150,2019,1,1,0,400.0,7260.0,-34.1,-53.1,275.0,34.9819
58150,2019,1,1,0,308.0,9045.0,-46.5,-62.5,260.0,48.8718
58150,2019,1,1,0,300.0,9220.0,-46.1,-62.1,260.0,49.9007
58150,2019,1,1,0,250.0,10440.0,-44.1,-61.1,255.0,69.9638
58150,2019,1,1,0,200.0,11920.0,-51.1,-67.1,255.0,84.8826
58150,2019,1,1,0,150.0,13750.0,-58.9,-73.9,260.0,72.0216
58150,2019,1,1,0,115.0,15384.0,-66.9,,260.0,60.1895
58150,2019,1,1,0,100.0,16230.0,-65.5,,260.0,51.9584
58150,2019,1,1,0,70.0,18390.0,-65.7,,265.0,31.8953
58150,2019,1,1,0,50.0,20440.0,-63.3,,260.0,26.7509
58150,2019,1,1,0,30.0,23620.0,-59.9,,265.0,8.74548
58150,2019,1,1,0,20.0,26150.0,-56.7,,245.0,7.20216
58150,2019,1,1,0,10.0,30640.0,-50.3,,,
