Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
58606,2019,1,1,0,1033.0,50.0,0.6,-2.1,0.0,1.02888
58606,2019,1,1,0,1000.0,308.0,-1.5,-3.5,15.0,7.20216
58606,2019,1,1,0,925.0,926.0,-3.1,-4.5,40.0,7.20216
58606,2019,1,1,0,850.0,1598.0,-0.3,-1.8,325.0,2.05776
58606,2019,1,1,0,700.0,3139.0,-4.3,-46.3,235.0,6.17328
58606,2019,1,1,0,500.0,5750.0,-14.9,-53.9,260.0,25.2076
58606,2019,1,1,0,400.0,7400.0,-25.9,-61.9,250.0,34.9819
58606,2019,1,1,0,370.0,7946.0,-28.1,-63.4,250.0,39.0974
58606,2019,1,1,0,250.0,10690.0,-39.1,-71.1,,
58606,2019,1,1,0,150.0,13970.0,-68.1,,,
58606,2019,1,1,0,119.0,15341.0,-73.1,,,
58606,2019,1,1,0,100.0,16360.0,-72.3,,,
58606,2019,1,1,0,70.0,18500.0,-68.7,,,
58606,2019,1,1,0,50.0,20500.0,-69.9,,,
