Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
57178,2019,1,1,0,1018.0,131.0,-7.9,-12.9,355.0,1.02888
57178,2019,1,1,0,1000.0,320.0,-3.1,-14.1,240.0,1.02888
57178,2019,1,1,0,925.0,934.0,-5.1,-18.1,10.0,3.08664
57178,2019,1,1,0,850.0,1596.0,-7.3,-14.3,20.0,5.1444
57178,2019,1,1,0,700.0,3117.0,-4.7,-35.7,345.0,6.17328
57178,2019,1,1,0,500.0,5690.0,-20.5,-39.5,275.0,20.0632
57178,2019,1,1,0,400.0,7290.0,-33.1,-53.1,270.0,22.1209
57178,2019,1,1,0,300.0,9250.0,-49.9,-66.9,265.0,31.8953
57178,2019,1,1,0,281.0,9676.0,-52.7,-68.7,260.0,39.0974
57178,2019,1,1,0,250.0,10440.0,-47.7,-65.7,260.0,56.074
57178,2019,1,1,0,200.0,11900.0,-52.1,-69.1,255.0,64.8194
57178,2019,1,1,0,177.0,12677.0,-55.6,,255.0,68.935
57178,2019,1,1,0,150.0,13730.0,-60.3,,260.0,66.8772
57178,2019,1,1,0,128.0,14710.0,-64.5,,265.0,60.1895
57178,2019,1,1,0,100.0,16220.0,-64.7,,265.0,40.1263
57178,2019,1,1,0,70.0,18400.0,-62.7,,265.0,34.9819
57178,2019,1,1,0,50.0,20450.0,-65.3,,255.0,21.092
57178,2019,1,1,0,30.0,23600.0,-60.1,,280.0,8.74548
57178,2019,1,1,0,20.0,26130.0,-57.1,,265.0,8.23104
