Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
57494,2019,1,1,0,1037.0,23.0,-6.1,-6.6,315.0,1.02888
57494,2019,1,1,0,1032.0,61.0,-3.7,-4.4,329.0,1.02888
57494,2019,1,1,0,1017.0,179.0,-2.8,-4.9,10.0,2.05776
57494,2019,1,1,0,1013.0,210.0,-2.5,-5.0,11.0,2.05776
57494,2019,1,1,0,1000.0,314.0,-2.9,-6.4,15.0,2.05776
57494,2019,1,1,0,976.0,505.0,-4.5,-7.2,20.0,3.08664
57494,2019,1,1,0,938.0,816.0,-7.0,-8.6,10.0,3.08664
57494,2019,1,1,0,925.0,926.0,-7.9,-9.1,10.0,4.11552
57494,2019,1,1,0,923.0,943.0,-7.9,-9.0,11.0,4.11552
57494,2019,1,1,0,900.0,1141.0,-6.0,-9.6,20.0,7.20216
57494,2019,1,1,0,870.0,1407.0,-3.5,-10.5,67.0,7.20216
57494,2019,1,1,0,865.0,1453.0,-3.6,-10.6,75.0,7.20216
57494,2019,1,1,0,850.0,1591.0,-3.9,-10.9,75.0,6.17328
57494,2019,1,1,0,832.0,1760.0,-4.1,-10.1,80.0,4.11552
57494,2019,1,1,0,800.0,2069.0,-4.6,-8.7,200.0,1.02888
57494,2019,1,1,0,778.0,2288.0,-4.9,-7.7,265.0,1.54332
57494,2019,1,1,0,768.0,2391.0,-1.9,-9.2,295.0,2.05776
57494,2019,1,1,0,762.0,2453.0,-0.1,-10.1,287.0,2.5722
57494,2019,1,1,0,737.0,2720.0,0.4,-24.6,255.0,5.1444
57494,2019,1,1,0,700.0,3131.0,-1.9,-44.9,240.0,8.74548
57494,2019,1,1,0,649.0,3713.0,-5.5,-47.4,230.0,8.74548
57494,2019,1,1,0,594.0,4394.0,-9.7,-50.3,240.0,7.20216
57494,2019,1,1,0,567.0,4752.0,-11.9,-51.8,230.0,10.8032
57494,2019,1,1,0,541.0,5114.0,-14.2,-53.3,245.0,16.9765
57494,2019,1,1,0,515.0,5493.0,-16.5,-54.9,265.0,19.0343
57494,2019,1,1,0,500.0,5720.0,-17.9,-55.9,265.0,20.0632
57494,2019,1,1,0,493.0,5825.0,-18.7,-56.7,265.0,20.0632
57494,2019,1,1,0,472.0,6143.0,-21.2,-58.4,265.0,20.0632
57494,2019,1,1,0,400.0,7350.0,-30.7,-64.7,250.0,26.2364
57494,2019,1,1,0,397.0,7403.0,-31.1,-65.0,250.0,26.2364
57494,2019,1,1,0,360.0,8085.0,-36.7,-69.3,255.0,27.7798
57494,2019,1,1,0,345.0,8382.0,-39.1,-71.1,255.0,33.953
57494,2019,1,1,0,309.0,9137.0,-39.4,-70.6,260.0,50.9296
57494,2019,1,1,0,300.0,9340.0,-39.5,-70.5,260.0,52.9873
57494,2019,1,1,0,295.0,9454.0,-39.6,-70.6,265.0,54.0162
57494,2019,1,1,0,250.0,10580.0,-40.5,-71.5,255.0,68.935
57494,2019,1,1,0,241.0,10830.0,-41.5,-72.5,255.0,70.9927
57494,2019,1,1,0,200.0,12070.0,-51.1,-79.1,255.0,79.7382
57494,2019,1,1,0,199.0,12102.0,-51.3,-79.2,255.0,79.7382
57494,2019,1,1,0,169.0,13153.0,-57.9,-83.9,258.0,72.536
57494,2019,1,1,0,150.0,13900.0,-62.3,,260.0,66.8772
57494,2019,1,1,0,119.0,15305.0,-69.5,,260.0,59.1606
57494,2019,1,1,0,105.0,16050.0,-70.1,,265.0,53.5018
57494,2019,1,1,0,104.0,16107.0,-70.2,,265.0,52.9873
57494,2019,1,1,0,100.0,16340.0,-70.7,,265.0,49.9007
57494,2019,1,1,0,99.0,16399.0,-70.8,,265.0,48.8718
57494,2019,1,1,0,92.1,16827.0,-71.3,,265.0,45.2707
57494,2019,1,1,0,88.0,17098.0,-68.1,,265.0,42.6985
57494,2019,1,1,0,70.0,18470.0,-68.3,,265.0,30.8664
57494,2019,1,1,0,59.9,19409.0,-66.7,,265.0,23.1498
57494,2019,1,1,0,57.0,19709.0,-66.9,,265.0,21.092
57494,2019,1,1,0,50.0,20500.0,-67.5,,260.0,20.0632
57494,2019,1,1,0,47.0,20873.0,-67.2,,255.0,20.0632
57494,2019,1,1,0,40.8,21726.0,-66.5,,260.0,18.0054
57494,2019,1,1,0,38.9,22017.0,-62.5,,261.0,16.9765
57494,2019,1,1,0,33.8,22880.0,-63.7,,266.0,14.9188
57494,2019,1,1,0,30.9,23435.0,-59.1,,269.0,13.3754
57494,2019,1,1,0,30.0,23620.0,-59.9,,270.0,12.861
57494,2019,1,1,0,27.8,24096.0,-61.9,,273.0,11.3177
57494,2019,1,1,0,23.0,25284.0,-59.8,,280.0,8.23104
57494,2019,1,1,0,21.0,25854.0,-58.8,,275.0,6.17328
57494,2019,1,1,0,20.0,26160.0,-58.3,,275.0,6.17328
57494,2019,1,1,0,19.1,26449.0,-59.3,,272.0,6.17328
57494,2019,1,1,0,15.0,27991.0,-52.1,,255.0,7.20216
57494,2019,1,1,0,14.5,28207.0,-51.1,,259.0,6.17328
57494,2019,1,1,0,13.0,28916.0,-51.2,,270.0,4.11552
57494,2019,1,1,0,10.0,30620.0,-51.5,,230.0,5.1444
57494,2019,1,1,0,9.2,31161.0,-51.5,,226.0,5.65884
57494,2019,1,1,0,9.0,31306.0,-51.0,,225.0,6.17328
57494,2019,1,1,0,8.0,32084.0,-48.7,,245.0,5.1444
57494,2019,1,1,0,6.2,33768.0,-43.5,,,
