Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
52983,2019,1,1,0,818.0,1875.0,-15.3,-17.0,270.0,1.02888
52983,2019,1,1,0,812.0,1931.0,-9.9,-11.6,279.0,1.02888
52983,2019,1,1,0,799.0,2055.0,-10.1,-12.1,300.0,1.02888
52983,2019,1,1,0,766.0,2380.0,-10.6,-13.3,330.0,1.02888
52983,2019,1,1,0,759.0,2451.0,-10.7,-13.6,296.0,2.5722
52983,2019,1,1,0,752.0,2522.0,-8.3,-22.3,261.0,4.11552
52983,2019,1,1,0,733.0,2721.0,-7.5,-28.7,165.0,8.74548
52983,2019,1,1,0,723.0,2828.0,-7.1,-32.1,163.0,10.2888
52983,2019,1,1,0,701.0,3068.0,-8.4,-33.4,160.0,12.861
52983,2019,1,1,0,700.0,3079.0,-8.5,-33.5,160.0,12.861
52983,2019,1,1,0,683.0,3269.0,-9.7,-31.7,166.0,11.3177
52983,2019,1,1,0,667.0,3453.0,-7.7,-28.7,172.0,10.2888
52983,2019,1,1,0,645.0,3713.0,-8.3,-29.3,180.0,8.23104
52983,2019,1,1,0,638.0,3798.0,-8.5,-29.5,188.0,7.20216
52983,2019,1,1,0,611.0,4125.0,-11.3,-29.2,220.0,5.1444
52983,2019,1,1,0,580.0,4518.0,-14.8,-28.9,275.0,8.23104
52983,2019,1,1,0,552.0,4893.0,-18.0,-28.6,290.0,12.861
52983,2019,1,1,0,525.0,5272.0,-21.3,-28.3,287.0,14.9188
52983,2019,1,1,0,500.0,5630.0,-23.7,-30.7,285.0,16.9765
52983,2019,1,1,0,496.0,5689.0,-24.3,-30.3,283.0,17.491
52983,2019,1,1,0,479.0,5943.0,-25.4,-37.6,275.0,20.0632
52983,2019,1,1,0,464.0,6174.0,-26.3,-44.3,275.0,20.5776
52983,2019,1,1,0,400.0,7230.0,-35.7,-50.7,275.0,23.1498
52983,2019,1,1,0,371.0,7740.0,-40.2,-52.9,265.0,23.1498
52983,2019,1,1,0,327.0,8596.0,-47.7,-56.7,265.0,25.722
52983,2019,1,1,0,300.0,9160.0,-52.1,-60.1,265.0,27.7798
52983,2019,1,1,0,259.0,10097.0,-57.9,-65.9,270.0,29.8375
52983,2019,1,1,0,250.0,10320.0,-57.9,-66.9,270.0,30.8664
52983,2019,1,1,0,201.0,11698.0,-55.1,-65.1,270.0,38.0686
52983,2019,1,1,0,200.0,11730.0,-55.3,-65.3,270.0,38.0686
52983,2019,1,1,0,177.0,12503.0,-56.7,-67.1,265.0,41.1552
52983,2019,1,1,0,150.0,13550.0,-58.5,-69.5,265.0,39.0974
52983,2019,1,1,0,133.0,14307.0,-57.7,-68.7,267.0,37.5541
52983,2019,1,1,0,102.0,15959.0,-63.5,,270.0,33.953
52983,2019,1,1,0,100.0,16080.0,-63.7,,270.0,32.9242
52983,2019,1,1,0,74.0,17937.0,-61.7,,265.0,28.8086
52983,2019,1,1,0,70.0,18280.0,-61.3,,270.0,26.7509
52983,2019,1,1,0,67.7,18487.0,-60.9,,271.0,26.7509
52983,2019,1,1,0,55.2,19743.0,-64.3,,274.0,24.1787
52983,2019,1,1,0,50.0,20350.0,-61.9,,275.0,23.1498
52983,2019,1,1,0,37.7,22101.0,-60.1,,287.0,19.0343
52983,2019,1,1,0,35.0,22562.0,-61.4,,290.0,18.0054
52983,2019,1,1,0,32.9,22945.0,-62.5,,292.0,15.4332
52983,2019,1,1,0,30.4,23437.0,-58.1,,295.0,12.3466
52983,2019,1,1,0,30.0,23520.0,-58.5,,295.0,11.8321
52983,2019,1,1,0,26.0,24413.0,-60.7,,270.0,8.23104
52983,2019,1,1,0,25.3,24583.0,-61.1,,268.0,8.23104
52983,2019,1,1,0,21.7,25545.0,-56.7,,256.0,8.23104
52983,2019,1,1,0,20.0,26060.0,-57.7,,250.0,8.23104
52983,2019,1,1,0,18.0,26732.0,-56.4,,230.0,7.20216
52983,2019,1,1,0,14.6,28066.0,-53.9,,227.0,6.68772
52983,2019,1,1,0,12.0,29333.0,-53.0,,225.0,6.17328
52983,2019,1,1,0,10.0,30510.0,-52.1,,,
52983,2019,1,1,0,9.8,30641.0,-51.1,,,
