Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
58847,2019,1,1,0,1019.0,85.0,9.0,7.0,315.0,1.02888
58847,2019,1,1,0,1000.0,271.0,8.6,6.1,5.0,3.08664
58847,2019,1,1,0,959.5,610.0,6.2,4.3,55.0,8.74548
58847,2019,1,1,0,925.0,911.0,4.0,2.7,50.0,8.74548
58847,2019,1,1,0,890.6,1219.0,4.0,2.7,180.0,2.05776
58847,2019,1,1,0,850.0,1599.0,4.0,2.6,105.0,10.8032
58847,2019,1,1,0,766.5,2438.0,1.3,-0.2,260.0,18.0054
58847,2019,1,1,0,700.0,3174.0,-1.1,-2.7,250.0,8.74548
58847,2019,1,1,0,657.8,3658.0,-3.4,-11.9,250.0,28.8086
58847,2019,1,1,0,562.3,4877.0,-9.3,-35.2,245.0,43.7274
58847,2019,1,1,0,500.0,5790.0,-13.7,-52.7,250.0,26.7509
58847,2019,1,1,0,480.1,6096.0,-15.0,-53.6,255.0,48.8718
58847,2019,1,1,0,400.0,7470.0,-20.7,-57.7,250.0,40.1263
58847,2019,1,1,0,300.0,9560.0,-30.3,-64.3,255.0,47.8429
58847,2019,1,1,0,250.0,10830.0,-39.9,-70.9,255.0,54.0162
58847,2019,1,1,0,200.0,12310.0,-53.1,-78.1,245.0,57.1028
58847,2019,1,1,0,196.0,12437.0,-53.9,,245.0,58.1317
58847,2019,1,1,0,150.0,14120.0,-65.1,,250.0,51.9584
58847,2019,1,1,0,100.0,16500.0,-80.5,,255.0,41.1552
58847,2019,1,1,0,92.2,16959.0,-82.3,,255.0,39.0974
58847,2019,1,1,0,70.0,18540.0,-75.1,,260.0,27.7798
58847,2019,1,1,0,50.0,20520.0,-70.1,,250.0,18.0054
58847,2019,1,1,0,30.0,23610.0,-63.7,,280.0,8.23104
58847,2019,1,1,0,20.0,26130.0,-58.7,,215.0,4.11552
58847,2019,1,1,0,10.0,30550.0,-53.7,,295.0,11.8321
