Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
50774,2019,1,1,0,992.0,232.0,-17.1,-29.1,245.0,5.1444
50774,2019,1,1,0,925.0,781.0,-19.5,-28.5,260.0,13.8899
50774,2019,1,1,0,850.0,1415.0,-17.1,-30.1,305.0,13.8899
50774,2019,1,1,0,700.0,2865.0,-21.5,-23.9,320.0,26.2364
50774,2019,1,1,0,500.0,5290.0,-34.3,-50.3,330.0,21.092
50774,2019,1,1,0,400.0,6810.0,-46.1,-60.1,325.0,18.0054
50774,2019,1,1,0,300.0,8660.0,-59.7,-71.7,325.0,14.9188
50774,2019,1,1,0,280.0,9087.0,-62.7,,325.0,16.9765
50774,2019,1,1,0,250.0,9790.0,-58.1,,325.0,14.9188
50774,2019,1,1,0,200.0,11200.0,-56.7,,305.0,14.9188
50774,2019,1,1,0,150.0,13030.0,-56.9,,285.0,16.9765
50774,2019,1,1,0,100.0,15610.0,-54.9,,280.0,24.1787
50774,2019,1,1,0,70.0,17880.0,-54.1,,280.0,24.1787
50774,2019,1,1,0,50.0,20050.0,-50.1,,270.0,20.0632
50774,2019,1,1,0,30.0,23420.0,-49.1,,255.0,13.8899
50774,2019,1,1,0,20.0,26100.0,-49.9,,,
