Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
50953,2019,1,1,0,1017.0,143.0,-20.5,-26.5,270.0,3.08664
50953,2019,1,1,0,1000.0,246.0,-20.3,-26.3,270.0,7.20216
50953,2019,1,1,0,925.0,832.0,-16.3,-30.3,285.0,12.861
50953,2019,1,1,0,850.0,1474.0,-13.5,-36.5,305.0,13.8899
50953,2019,1,1,0,700.0,2931.0,-21.1,-34.1,315.0,13.8899
50953,2019,1,1,0,500.0,5340.0,-35.3,-38.5,340.0,10.8032
50953,2019,1,1,0,400.0,6860.0,-45.9,-48.4,5.0,9.77436
50953,2019,1,1,0,300.0,8720.0,-60.1,,350.0,8.23104
50953,2019,1,1,0,276.0,9237.0,-62.1,,335.0,8.74548
50953,2019,1,1,0,250.0,9850.0,-60.3,,305.0,9.77436
50953,2019,1,1,0,200.0,11260.0,-55.1,,290.0,18.0054
50953,2019,1,1,0,150.0,13090.0,-56.1,,285.0,25.2076
50953,2019,1,1,0,100.0,15670.0,-55.9,,275.0,27.7798
50953,2019,1,1,0,70.0,17940.0,-55.5,,275.0,27.7798
50953,2019,1,1,0,50.0,20100.0,-51.3,,270.0,22.1209
50953,2019,1,1,0,30.0,23440.0,-49.3,,255.0,11.8321
50953,2019,1,1,0,20.0,26080.0,-49.3,,225.0,5.1444
