Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
54102,2019,1,2,0,914.0,991.0,-24.9,-28.5,135.0,1.02888
54102,2019,1,2,0,850.0,1543.0,-16.5,-23.5,240.0,4.11552
54102,2019,1,2,0,700.0,2993.0,-20.9,-36.9,280.0,7.20216
54102,2019,1,2,0,500.0,5410.0,-35.1,-37.2,290.0,15.9476
54102,2019,1,2,0,400.0,6940.0,-44.9,-55.9,285.0,20.0632
54102,2019,1,2,0,319.0,8425.0,-53.3,-63.3,285.0,24.1787
54102,2019,1,2,0,300.0,8820.0,-53.5,-63.5,285.0,25.2076
54102,2019,1,2,0,250.0,9990.0,-53.5,-64.5,290.0,24.1787
54102,2019,1,2,0,200.0,11430.0,-51.7,-63.7,285.0,28.8086
54102,2019,1,2,0,150.0,13280.0,-54.7,-66.7,285.0,33.953
54102,2019,1,2,0,132.0,14090.0,-55.6,-67.7,285.0,34.9819
54102,2019,1,2,0,100.0,15850.0,-57.7,-69.7,280.0,32.9242
54102,2019,1,2,0,79.0,17323.0,-62.9,,295.0,29.8375
54102,2019,1,2,0,70.0,18070.0,-62.5,,290.0,28.8086
54102,2019,1,2,0,50.0,20170.0,-59.3,,275.0,27.7798
54102,2019,1,2,0,30.0,23410.0,-52.9,,265.0,19.0343
54102,2019,1,2,0,20.0,26020.0,-52.9,,250.0,11.8321
