Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
51828,2019,1,2,0,865.0,1375.0,-8.7,-14.7,90.0,0.0
51828,2019,1,2,0,850.0,1514.0,-6.9,-18.9,125.0,5.1444
51828,2019,1,2,0,700.0,3028.0,-2.5,-26.5,115.0,5.1444
51828,2019,1,2,0,500.0,5620.0,-20.3,-36.3,285.0,8.23104
51828,2019,1,2,0,400.0,7220.0,-34.9,-38.2,245.0,8.23104
51828,2019,1,2,0,300.0,9160.0,-51.5,-56.5,250.0,12.861
51828,2019,1,2,0,273.0,9769.0,-56.9,-61.9,240.0,14.9188
51828,2019,1,2,0,250.0,10330.0,-56.7,-63.7,250.0,21.092
51828,2019,1,2,0,200.0,11740.0,-57.3,-66.3,255.0,31.8953
51828,2019,1,2,0,167.0,12893.0,-55.2,-66.0,260.0,32.9242
51828,2019,1,2,0,150.0,13580.0,-53.9,-65.9,260.0,30.8664
51828,2019,1,2,0,102.0,16008.0,-62.7,,260.0,24.1787
51828,2019,1,2,0,100.0,16130.0,-62.7,,260.0,24.1787
51828,2019,1,2,0,70.0,18330.0,-62.3,,275.0,26.7509
51828,2019,1,2,0,50.0,20390.0,-62.5,,275.0,15.9476
51828,2019,1,2,0,30.0,23510.0,-65.9,,275.0,13.8899
