Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
57993,2019,1,2,0,1018.0,125.0,2.0,1.1,330.0,2.05776
57993,2019,1,2,0,1000.0,278.0,0.6,0.3,355.0,3.08664
57993,2019,1,2,0,925.0,900.0,-3.1,-3.4,45.0,4.11552
57993,2019,1,2,0,850.0,1581.0,7.4,7.1,260.0,5.1444
57993,2019,1,2,0,700.0,3168.0,0.8,-0.5,240.0,16.9765
57993,2019,1,2,0,500.0,5790.0,-10.5,-50.5,250.0,32.9242
57993,2019,1,2,0,400.0,7490.0,-16.5,-54.5,270.0,43.213
57993,2019,1,2,0,300.0,9590.0,-30.9,-64.9,275.0,46.814
57993,2019,1,2,0,250.0,10860.0,-38.5,-70.5,255.0,49.9007
57993,2019,1,2,0,231.0,11388.0,-43.5,-74.1,255.0,52.9873
57993,2019,1,2,0,200.0,12350.0,-52.7,-80.7,250.0,52.9873
57993,2019,1,2,0,150.0,14160.0,-65.5,,265.0,49.9007
57993,2019,1,2,0,100.0,16560.0,-78.3,,260.0,38.0686
57993,2019,1,2,0,84.3,17516.0,-83.5,,265.0,36.0108
57993,2019,1,2,0,70.0,18570.0,-73.7,,270.0,23.1498
57993,2019,1,2,0,50.0,20550.0,-69.1,,265.0,14.9188
57993,2019,1,2,0,30.0,23650.0,-63.1,,285.0,9.77436
57993,2019,1,2,0,20.0,26170.0,-57.5,,270.0,4.11552
57993,2019,1,2,0,10.0,30620.0,-49.7,,,
