Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
58457,2019,1,2,0,1032.0,43.0,1.4,-0.8,45.0,2.05776
58457,2019,1,2,0,1000.0,297.0,-0.5,-2.2,35.0,2.05776
58457,2019,1,2,0,961.4,610.0,-2.5,-4.0,95.0,4.11552
58457,2019,1,2,0,925.0,916.0,-4.5,-5.8,85.0,4.11552
58457,2019,1,2,0,890.3,1219.0,-2.7,-4.0,245.0,5.1444
58457,2019,1,2,0,850.0,1586.0,-0.5,-1.7,230.0,3.08664
58457,2019,1,2,0,763.8,2438.0,-1.9,-3.2,260.0,26.7509
58457,2019,1,2,0,700.0,3132.0,-3.1,-4.4,265.0,18.0054
58457,2019,1,2,0,653.7,3658.0,-6.1,-11.0,265.0,23.1498
58457,2019,1,2,0,557.9,4877.0,-13.1,-26.3,255.0,52.9873
58457,2019,1,2,0,500.0,5720.0,-17.9,-36.9,270.0,22.1209
58457,2019,1,2,0,474.9,6096.0,-20.1,-38.9,260.0,76.1371
58457,2019,1,2,0,400.0,7350.0,-27.5,-45.5,260.0,47.8429
58457,2019,1,2,0,349.0,8323.0,-33.3,-51.3,255.0,56.074
58457,2019,1,2,0,300.0,9390.0,-33.1,-51.1,265.0,67.9061
58457,2019,1,2,0,250.0,10670.0,-39.5,-57.5,260.0,80.7671
58457,2019,1,2,0,200.0,12160.0,-51.7,-67.7,265.0,84.8826
58457,2019,1,2,0,150.0,13970.0,-62.3,,265.0,62.7617
58457,2019,1,2,0,100.0,16400.0,-74.1,,265.0,50.9296
58457,2019,1,2,0,91.9,16891.0,-76.3,,265.0,47.8429
58457,2019,1,2,0,70.0,18490.0,-69.9,,270.0,30.8664
58457,2019,1,2,0,50.0,20510.0,-70.3,,280.0,21.092
58457,2019,1,2,0,30.0,23620.0,-62.9,,280.0,13.8899
58457,2019,1,2,0,20.0,26130.0,-58.7,,290.0,8.74548
58457,2019,1,2,0,10.0,30540.0,-53.1,,,
