Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
58633,2019,1,2,0,1025.0,71.0,1.2,1.2,70.0,4.11552
58633,2019,1,2,0,1000.0,285.0,0.8,-1.1,50.0,8.23104
58633,2019,1,2,0,925.0,906.0,-3.1,-4.5,75.0,8.23104
58633,2019,1,2,0,850.0,1581.0,1.0,-0.5,190.0,5.1444
58633,2019,1,2,0,700.0,3142.0,-1.7,-3.4,265.0,23.1498
58633,2019,1,2,0,500.0,5740.0,-19.3,-57.3,265.0,28.8086
58633,2019,1,2,0,400.0,7370.0,-24.9,-60.9,250.0,49.9007
58633,2019,1,2,0,300.0,9440.0,-32.1,-66.1,265.0,66.8772
58633,2019,1,2,0,250.0,10710.0,-39.7,-70.7,260.0,73.0505
58633,2019,1,2,0,236.0,11095.0,-42.5,-72.7,260.0,77.166
58633,2019,1,2,0,200.0,12200.0,-50.5,-78.5,255.0,75.1082
58633,2019,1,2,0,150.0,14010.0,-62.5,,265.0,60.7039
58633,2019,1,2,0,100.0,16440.0,-74.3,,260.0,48.8718
58633,2019,1,2,0,88.5,17143.0,-76.9,,265.0,42.1841
58633,2019,1,2,0,70.0,18500.0,-71.7,,270.0,29.8375
58633,2019,1,2,0,50.0,20500.0,-68.3,,270.0,16.9765
58633,2019,1,2,0,30.0,23600.0,-64.5,,265.0,12.861
58633,2019,1,2,0,20.0,26100.0,-61.1,,290.0,8.23104
58633,2019,1,2,0,10.0,30500.0,-54.5,,240.0,8.74548
