Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
57749,2019,1,2,0,1005.0,261.0,-0.9,-2.2,25.0,1.02888
57749,2019,1,2,0,1000.0,300.0,-1.1,-4.1,35.0,1.02888
57749,2019,1,2,0,925.0,917.0,-5.1,-7.9,40.0,4.11552
57749,2019,1,2,0,850.0,1582.0,-3.7,-5.5,35.0,6.17328
57749,2019,1,2,0,700.0,3132.0,-1.9,-3.9,250.0,18.0054
57749,2019,1,2,0,500.0,5750.0,-12.7,-52.7,255.0,27.7798
57749,2019,1,2,0,400.0,7430.0,-17.3,-55.3,270.0,51.9584
57749,2019,1,2,0,300.0,9520.0,-31.7,-65.7,270.0,58.1317
57749,2019,1,2,0,250.0,10790.0,-40.3,-71.3,260.0,58.1317
57749,2019,1,2,0,200.0,12270.0,-52.1,-80.1,255.0,66.8772
57749,2019,1,2,0,150.0,14070.0,-64.3,,265.0,59.1606
57749,2019,1,2,0,100.0,16490.0,-75.7,,265.0,42.1841
57749,2019,1,2,0,93.2,16893.0,-77.7,,270.0,39.0974
57749,2019,1,2,0,70.0,18540.0,-73.9,,265.0,24.1787
57749,2019,1,2,0,50.0,20540.0,-66.3,,270.0,8.23104
57749,2019,1,2,0,30.0,23620.0,-63.1,,285.0,9.77436
57749,2019,1,2,0,20.0,26140.0,-57.3,,280.0,7.20216
57749,2019,1,2,0,10.0,30570.0,-50.5,,255.0,8.23104
