Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
55299,2019,1,2,0,586.0,4508.0,-19.3,-32.3,0.0,0.0
55299,2019,1,2,0,582.0,4559.0,-19.5,-32.5,22.0,0.51444
55299,2019,1,2,0,574.0,4663.0,-16.1,-31.8,65.0,2.05776
55299,2019,1,2,0,567.0,4755.0,-13.1,-31.1,95.0,3.08664
55299,2019,1,2,0,552.0,4960.0,-12.2,-31.7,160.0,5.1444
55299,2019,1,2,0,548.0,5015.0,-11.9,-31.9,165.0,5.1444
55299,2019,1,2,0,500.0,5710.0,-16.3,-37.3,225.0,7.20216
55299,2019,1,2,0,486.0,5919.0,-18.0,-38.4,240.0,7.20216
55299,2019,1,2,0,463.0,6277.0,-20.8,-40.2,250.0,8.74548
55299,2019,1,2,0,423.0,6943.0,-26.1,-43.7,240.0,14.9188
55299,2019,1,2,0,412.0,7138.0,-27.7,-44.7,248.0,16.4621
55299,2019,1,2,0,403.0,7296.0,-29.0,-46.0,255.0,18.0054
55299,2019,1,2,0,400.0,7350.0,-29.5,-46.5,255.0,18.0054
55299,2019,1,2,0,384.0,7633.0,-32.2,-47.6,260.0,16.9765
55299,2019,1,2,0,330.0,8682.0,-42.1,-51.9,260.0,19.0343
55299,2019,1,2,0,323.0,8831.0,-43.5,-52.5,260.0,23.1498
55299,2019,1,2,0,302.0,9285.0,-40.9,-55.9,255.0,32.9242
55299,2019,1,2,0,300.0,9330.0,-41.1,-56.1,255.0,33.953
55299,2019,1,2,0,250.0,10560.0,-44.7,-60.7,255.0,52.9873
55299,2019,1,2,0,246.0,10667.0,-45.0,-61.0,255.0,54.0162
55299,2019,1,2,0,233.0,11028.0,-46.1,-62.1,256.0,52.4729
55299,2019,1,2,0,201.0,11997.0,-49.8,-65.8,260.0,48.8718
55299,2019,1,2,0,200.0,12030.0,-49.9,-65.9,260.0,48.8718
55299,2019,1,2,0,179.0,12749.0,-52.1,-68.1,260.0,51.444
55299,2019,1,2,0,158.0,13541.0,-57.5,-72.8,260.0,54.0162
55299,2019,1,2,0,150.0,13870.0,-59.7,-74.7,260.0,50.9296
55299,2019,1,2,0,137.0,14438.0,-60.3,,266.0,44.7563
55299,2019,1,2,0,130.0,14759.0,-62.0,,270.0,41.1552
55299,2019,1,2,0,122.0,15148.0,-64.0,,270.0,37.0397
55299,2019,1,2,0,105.0,16068.0,-68.7,,262.0,37.0397
55299,2019,1,2,0,100.0,16360.0,-70.1,,260.0,37.0397
55299,2019,1,2,0,99.2,16408.0,-70.3,,260.0,37.0397
55299,2019,1,2,0,96.0,16603.0,-70.0,,260.0,38.0686
55299,2019,1,2,0,81.0,17618.0,-68.3,,270.0,28.8086
55299,2019,1,2,0,72.0,18322.0,-67.2,,265.0,22.1209
55299,2019,1,2,0,70.0,18490.0,-66.9,,265.0,21.092
55299,2019,1,2,0,61.1,19310.0,-67.5,,257.0,19.0343
55299,2019,1,2,0,56.0,19839.0,-63.7,,252.0,17.491
55299,2019,1,2,0,50.0,20530.0,-66.3,,245.0,15.9476
55299,2019,1,2,0,41.0,21733.0,-65.7,,,
