Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
56778,2019,1,3,0,815.0,1892.0,8.0,5.8,250.0,3.08664
56778,2019,1,3,0,757.0,2494.0,4.7,2.5,235.0,8.23104
56778,2019,1,3,0,700.0,3133.0,1.2,-1.1,255.0,15.9476
56778,2019,1,3,0,652.0,3700.0,-3.1,-4.8,265.0,18.0054
56778,2019,1,3,0,643.0,3811.0,-3.9,-5.5,261.0,19.0343
56778,2019,1,3,0,629.0,3984.0,-4.3,-15.3,255.0,20.5776
56778,2019,1,3,0,616.0,4150.0,-1.9,-27.9,249.0,22.1209
56778,2019,1,3,0,584.0,4574.0,-1.5,-33.5,234.0,25.722
56778,2019,1,3,0,557.0,4948.0,-2.7,-35.0,220.0,28.8086
56778,2019,1,3,0,503.0,5753.0,-5.3,-38.3,235.0,37.0397
56778,2019,1,3,0,500.0,5800.0,-5.5,-38.5,235.0,37.0397
56778,2019,1,3,0,498.0,5831.0,-5.5,-38.5,235.0,37.0397
56778,2019,1,3,0,400.0,7510.0,-16.1,-44.1,245.0,42.1841
56778,2019,1,3,0,393.0,7643.0,-16.7,-44.7,246.0,42.1841
56778,2019,1,3,0,316.0,9234.0,-29.8,-52.7,255.0,43.7274
56778,2019,1,3,0,304.0,9516.0,-32.1,-54.1,251.0,43.7274
56778,2019,1,3,0,300.0,9610.0,-31.9,-54.9,250.0,43.7274
56778,2019,1,3,0,288.0,9899.0,-32.5,-55.5,247.0,44.7563
56778,2019,1,3,0,250.0,10880.0,-41.5,-61.5,235.0,47.8429
56778,2019,1,3,0,232.0,11382.0,-45.7,-64.7,235.0,48.8718
56778,2019,1,3,0,218.0,11795.0,-46.7,-65.7,235.0,49.3862
56778,2019,1,3,0,210.0,12040.0,-49.0,-67.5,235.0,49.9007
56778,2019,1,3,0,200.0,12360.0,-51.9,-69.9,240.0,48.8718
56778,2019,1,3,0,178.0,13094.0,-58.7,,240.0,47.8429
56778,2019,1,3,0,165.0,13572.0,-63.1,,240.0,44.2418
56778,2019,1,3,0,161.0,13724.0,-60.9,,240.0,43.213
56778,2019,1,3,0,150.0,14160.0,-63.7,,240.0,40.1263
56778,2019,1,3,0,120.0,15500.0,-72.3,,251.0,28.2942
56778,2019,1,3,0,105.0,16284.0,-72.5,,258.0,21.092
56778,2019,1,3,0,101.0,16512.0,-73.1,,260.0,19.0343
56778,2019,1,3,0,100.0,16570.0,-73.3,,255.0,19.0343
56778,2019,1,3,0,99.7,16588.0,-73.3,,255.0,19.0343
56778,2019,1,3,0,87.0,17374.0,-78.0,,240.0,18.0054
56778,2019,1,3,0,84.6,17535.0,-78.9,,240.0,18.0054
56778,2019,1,3,0,70.0,18610.0,-79.9,,265.0,15.9476
56778,2019,1,3,0,68.5,18733.0,-79.9,,268.0,15.4332
56778,2019,1,3,0,61.4,19364.0,-72.7,,286.0,12.3466
56778,2019,1,3,0,58.0,19697.0,-74.1,,295.0,10.8032
56778,2019,1,3,0,54.7,20039.0,-75.5,,271.0,10.8032
56778,2019,1,3,0,51.5,20394.0,-69.3,,247.0,10.2888
56778,2019,1,3,0,50.0,20570.0,-70.1,,235.0,9.77436
56778,2019,1,3,0,48.2,20787.0,-71.7,,,
56778,2019,1,3,0,43.4,21411.0,-68.1,,,
